,wikidata,osmid,type
528,Q1880074,241754619,way
529,Q1880100,10117151,relation
530,Q1880569,90505581,way
531,Q1881451,239712282,way
532,Q1882794,202461198,way
533,Q1884358,268693327,way
534,Q1885002,277630709,node
535,Q1886229,125915784,way
536,Q1886350,90540213,way
537,Q1887962,112183330,way
538,Q1890517,684759605,way
539,Q1891424,790965560,way
540,Q1893713,39992228,way
541,Q1894224,240113263,way
542,Q1894656,145048636,way
543,Q1894940,132325693,way
544,Q1895970,27561299,way
545,Q1896919,136939754,way
546,Q1898027,117528097,way
547,Q1900010,90597786,way
548,Q1901018,165773771,way
549,Q1901393,148376940,way
550,Q1904159,246060602,way
551,Q1904252,247059223,way
552,Q1908376,198440226,way
553,Q1909508,25382505,way
554,Q1911339,239855314,way
555,Q1911912,90540507,way
556,Q1912697,121194264,way
557,Q1913158,202461182,way
558,Q1916391,112695341,way
559,Q1916718,90726066,way
560,Q1917118,673990787,way
561,Q1917436,230700250,way
562,Q1917577,90584427,way
563,Q1919848,148533914,way
564,Q1920594,144500759,way
565,Q1921522,191577003,way
566,Q1923437,111784697,way
567,Q1923474,229807990,way
568,Q1923514,738287776,way
569,Q1923567,309050384,way
570,Q1924302,122976198,way
571,Q1924706,202461177,way
572,Q1924971,198874066,way
573,Q1927017,161965257,way
574,Q1928783,9168657,relation
575,Q1930176,106535761,way
576,Q1930191,119208109,way
577,Q1931312,84180039,way
578,Q1932096,282452188,way
579,Q1933215,674328033,way
580,Q1933857,116021789,way
581,Q1934651,91137901,way
582,Q1936159,676225996,way
583,Q1936736,13353404,relation
584,Q1937508,239558419,way
585,Q1937768,673989736,way
586,Q1938062,135266779,way
587,Q1938714,369136658,way
588,Q1940391,90545655,way
589,Q1943852,995516427,way
590,Q1944186,96393841,way
591,Q1944433,119122754,way
592,Q1945150,674329561,way
593,Q1945205,684762254,way
594,Q1947061,24405069,way
595,Q1947202,336658424,way
596,Q1947782,121053681,way
597,Q1948008,191576999,way
598,Q1950009,242596461,way
599,Q1950363,101309650,way
600,Q1950772,111808335,way
601,Q1950924,191577019,way
602,Q1951051,731995363,way
603,Q1951411,76863518,way
