,wikidata,osmid,type
587,Q10512489,2506838419,node
588,Q10512530,781367541,way
589,Q10512547,244503051,way
590,Q10512562,614188855,way
591,Q10512580,821279111,node
592,Q10512598,309405556,way
593,Q10512609,96197354,way
594,Q10512614,781495367,way
595,Q76475988,685464508,way
596,Q1742877,24329423,way
597,Q10512689,53097470,way
598,Q10512697,243061372,way
599,Q1236650,24059735,way
600,Q10512951,531776259,way
601,Q10512958,3387924236,node
602,Q10512962,243008307,way
603,Q1742878,1050889621,way
604,Q116603,97507765,way
605,Q10515479,430065933,way
606,Q1920080,2398786552,node
607,Q10515490,202394382,way
608,Q10515880,542058780,way
609,Q5638502,116438616,way
610,Q10515907,390667595,node
611,Q10515911,40399277,way
612,Q1742881,503333173,way
613,Q10515957,535002113,way
614,Q3866816,30677832,way
615,Q10516103,550280938,way
616,Q10516116,554107078,way
617,Q10516349,361199972,way
618,Q10516355,472349036,node
619,Q10516377,310850336,way
620,Q18290449,319097349,way
621,Q1248514,814046190,node
622,Q10516451,129406960,way
623,Q18331036,1100993690,way
624,Q10516764,475423386,way
625,Q10516833,38421293,way
626,Q10516834,221570448,way
627,Q10516849,108251262,way
628,Q10516883,191640761,way
629,Q10516887,76064074,way
630,Q10516911,436076368,way
631,Q10516919,409767568,way
632,Q10516927,290606808,way
633,Q1551598,513951983,way
634,Q10516978,4505194463,node
635,Q10516987,292006980,way
636,Q10517190,193229385,way
637,Q10517197,518605082,way
638,Q10517208,243042818,way
639,Q1742884,465480015,way
640,Q10517232,169543476,way
641,Q10517274,204720898,way
642,Q18290514,444468608,way
643,Q10517962,976732516,node
644,Q10518024,1319766346,node
645,Q10518045,93227235,way
646,Q10518097,486226747,way
647,Q10518223,640390983,way
648,Q29354881,839861614,way
649,Q10518476,311402272,way
650,Q10518488,276611668,way
651,Q10518500,733416232,way
652,Q10518617,359510647,way
653,Q10518667,401664015,way
654,Q5251087,615477838,way
655,Q10519094,407395983,way
656,Q10519095,550301536,way
657,Q10519116,300573887,way
658,Q10519182,123652602,way
659,Q10519242,1997951967,node
660,Q2036739,27741605,way
661,Q10519262,88741182,way
662,Q28379925,1088359650,way
663,Q1742887,528236268,way
