,wikidata,osmid,type
724,Q86708737,777307194,way
725,Q86718396,207479095,way
726,Q86718823,39626925,way
727,Q86719012,207486996,way
728,Q86720706,106090122,way
729,Q86724378,203170330,way
730,Q86724391,632863288,way
731,Q86724404,513532495,way
732,Q86821544,165065875,way
733,Q86821620,161537732,way
734,Q86821695,105392408,way
735,Q86821922,312732423,way
736,Q86822433,777451612,way
737,Q86823144,105375136,way
738,Q86823350,777453957,way
739,Q86827015,777461439,way
740,Q86828602,777465394,way
741,Q86906341,97541201,way
742,Q86907234,230277559,way
743,Q86907323,220260676,way
744,Q86907430,221375173,way
745,Q86913766,777719826,way
746,Q86913895,114790135,way
747,Q86914749,217841822,way
748,Q86914923,308781563,way
749,Q86915266,270972236,way
750,Q86915484,187206285,way
751,Q86915618,187011619,way
752,Q86915741,165264348,way
753,Q86915754,187206281,way
754,Q86915759,187206282,way
755,Q86915777,575697756,way
756,Q86915780,95459517,way
757,Q86916993,270964572,way
758,Q86917163,223756549,way
759,Q86917401,89545590,way
760,Q86917557,179496690,way
761,Q86917620,243557469,way
762,Q86917628,30482918,way
763,Q86917634,96289208,way
764,Q86924311,96240687,way
765,Q86924674,253076450,way
766,Q86924673,87261639,way
767,Q86924679,250567123,way
768,Q86924682,119768754,way
769,Q86924685,263507497,way
770,Q86924932,187199452,way
771,Q86925344,87241994,way
772,Q86925515,83675453,way
773,Q86925519,187088015,way
774,Q86925551,155566149,way
775,Q86925586,182824944,way
776,Q86925630,155569342,way
777,Q86925901,187813012,way
778,Q86925966,103990938,way
779,Q86926223,94550109,way
780,Q86926422,94556202,way
781,Q86927227,94864910,way
782,Q86927368,242229591,way
783,Q86927502,72042201,way
784,Q86927634,311787434,way
785,Q86927820,85426811,way
786,Q86928060,83607665,way
787,Q86928210,96105136,way
788,Q86928293,79392622,way
789,Q86928300,77993791,way
790,Q86928328,77039239,way
791,Q86928358,80508015,way
792,Q86928378,150936543,way
793,Q86928921,104496553,way
794,Q86929052,44693504,way
795,Q86929781,55814945,way
796,Q86930424,270969561,way
797,Q86930617,658255409,way
798,Q86932156,777860833,way
799,Q87057799,521211861,way
800,Q87072083,223759680,way
801,Q87072081,295090253,way
802,Q87073190,223391495,way
803,Q87073211,110403609,way
804,Q87073766,778402906,way
805,Q87073843,778404186,way
806,Q87074075,591358821,way
807,Q87137564,403616649,way
808,Q87137765,778662163,way
809,Q87139173,778679385,way
810,Q87139960,498882142,way
811,Q87142630,12895731,relation
812,Q87203845,59004372,way
813,Q87204191,73029392,way
814,Q87204735,172982958,way
815,Q87205077,173025947,way
816,Q87211087,298107904,way
817,Q87211099,73029393,way
818,Q87211115,304689870,way
819,Q88806676,785215272,way
820,Q88807271,161526832,way
821,Q88807482,208010888,way
822,Q88807596,322752510,way
823,Q88807651,326453730,way
824,Q88807662,408361926,way
825,Q88807694,305359168,way
826,Q88807746,305359169,way
827,Q88807932,251073081,way
828,Q88809513,315813519,way
829,Q88810380,322499141,way
830,Q88810975,66496381,way
831,Q88811046,59073856,way
832,Q88864271,66617552,way
833,Q88864280,356766710,way
834,Q88864292,309659912,way
835,Q88864298,313126713,way
836,Q88864318,352318033,way
837,Q88864955,547976253,way
838,Q88865965,547930389,way
839,Q88865976,785328665,way
840,Q88865993,785329583,way
841,Q88866456,298785454,way
842,Q88866825,785330338,way
843,Q88867817,785334941,way
844,Q88867902,785337232,way
845,Q88868859,785335708,way
846,Q88869213,997971776,way
847,Q88869411,785338978,way
848,Q88874568,785356292,way
849,Q88874650,489588634,way
850,Q88874797,316372491,way
851,Q88874998,785357145,way
852,Q88876608,785361486,way
853,Q88877045,785362225,way
854,Q88877150,344840783,way
855,Q88877794,151696147,way
856,Q88877850,370302451,way
857,Q88878075,362948761,way
858,Q88878665,785368318,way
859,Q88878841,785369122,way
860,Q88879352,785370442,way
861,Q88879413,360141132,way
862,Q88879490,273610631,way
863,Q88882579,37891991,way
864,Q88882662,690185569,way
865,Q88882804,272268993,way
866,Q88883737,305063353,way
867,Q88883742,375710857,way
868,Q88883758,298215709,way
869,Q88883780,492441140,way
870,Q88883787,375768053,way
871,Q88884352,988570403,way
872,Q88884934,1086438681,way
873,Q88885701,388819889,way
874,Q88889202,383732206,way
875,Q88889461,435431041,way
876,Q88897022,312387296,way
877,Q88897230,319985079,way
878,Q88897328,319977443,way
879,Q88897432,317525522,way
880,Q88897498,320388415,way
881,Q88897702,488694313,way
882,Q88897758,324579398,way
883,Q88897899,321524965,way
884,Q88899030,925547795,way
885,Q88899092,295091219,way
886,Q88899183,446514261,way
887,Q88899319,224390909,way
888,Q88956002,81236035,way
889,Q88956175,120840146,way
890,Q88963037,42975771,way
891,Q87252930,6684702,relation
892,Q87413270,779718844,way
893,Q87413279,354614155,way
894,Q87413284,1180853042,node
895,Q87413489,227395600,way
896,Q87413585,41038536,way
897,Q87413670,987733298,way
898,Q87413705,274614805,way
899,Q87413788,339820524,way
900,Q87413883,339820537,way
901,Q87413986,203212012,way
902,Q87414037,61408643,way
903,Q87474831,39269566,way
904,Q87481580,85510961,way
905,Q87818890,211264904,way
906,Q87914861,114352793,way
907,Q88088035,164206646,way
908,Q88088179,614580165,way
909,Q88686258,387889278,way
910,Q88686364,389625215,way
911,Q88686960,389625227,way
912,Q88687039,311371722,way
913,Q88687898,185975678,way
914,Q88688011,472357837,way
915,Q88688087,344910055,way
916,Q88688375,345536185,way
917,Q88688549,342297931,way
918,Q88689036,364410366,way
919,Q88689111,369011610,way
920,Q88689249,369106397,way
921,Q88689506,312556493,way
922,Q88689596,282153916,way
923,Q88689692,359440745,way
924,Q88690046,784919169,way
925,Q88690195,357871875,way
926,Q88803695,348055984,way
927,Q88803701,68176651,way
928,Q88803706,348731588,way
929,Q88803711,364652164,way
930,Q88803734,229412308,way
931,Q88803740,575868669,way
932,Q88803752,987974989,way
933,Q88804822,239325657,way
934,Q88804825,240083666,way
935,Q88806663,660659056,way
936,Q88806666,240245893,way
937,Q88964398,31143113,way
938,Q88964402,199104084,way
939,Q88964406,4246514,relation
940,Q88964409,96693031,way
941,Q88964431,96693028,way
942,Q88964597,167330979,way
943,Q88964797,80597348,way
944,Q88965043,81176032,way
945,Q88965234,186546535,way
946,Q88965297,60256367,way
947,Q88965301,35993844,way
948,Q88965310,82219380,way
949,Q88965316,83198006,way
950,Q88965338,42861091,way
951,Q88965348,35475138,way
952,Q88965352,35978843,way
953,Q88969300,58725223,way
954,Q88970533,137304524,way
955,Q88970696,120771813,way
956,Q88970873,135716688,way
957,Q88970967,291899163,way
958,Q88971179,156656234,way
959,Q88971299,303739313,way
960,Q88971399,303739316,way
961,Q88971501,303739323,way
962,Q88971592,366491158,way
963,Q88972231,166967098,way
964,Q88972324,63862119,way
965,Q88972433,367406290,way
966,Q88972613,377010216,way
967,Q88972741,359589673,way
968,Q88972854,202758309,way
969,Q88972954,201512753,way
970,Q88973037,344153671,way
971,Q88973093,359589674,way
972,Q88973743,215025329,way
973,Q88973749,394374303,way
974,Q88973755,338446479,way
975,Q88973764,199343950,way
976,Q88973780,86929925,way
977,Q88973798,303485611,way
978,Q88973809,396029276,way
979,Q88973827,303739309,way
980,Q88973901,49251793,way
981,Q88974644,202589681,way
982,Q88974661,202093008,way
983,Q88974666,209876487,way
984,Q88974675,238180106,way
985,Q88974699,156061824,way
986,Q88974818,238040883,way
987,Q88974880,208486918,way
988,Q88975902,201150523,way
989,Q88979008,90185223,way
990,Q88979137,299303518,way
991,Q88979246,150194623,way
992,Q88979323,426154276,way
993,Q88979343,201172848,way
