,wikidata,osmid,type
790,Q1417213,419244235,way
791,Q7491516,166192687,way
792,Q22078237,118975463,way
793,Q7515504,40379307,way
794,Q7523558,44501307,way
795,Q7531352,283443709,way
796,Q7531930,4112123,relation
797,Q90347416,886599239,way
798,Q7538833,665094247,way
799,Q96399379,39213432,way
800,Q7545502,357264945,node
801,Q77250285,40164923,way
802,Q64168548,29908866,way
803,Q7566459,29869928,way
804,Q104852192,894246026,way
805,Q100701171,373553098,way
806,Q26869096,357730325,node
807,Q32129062,660908408,way
808,Q23092087,898009821,way
809,Q7568546,1100968563,way
810,Q7569099,250158291,way
811,Q7569105,83127927,way
812,Q28403178,135833263,way
813,Q78808648,260545483,way
814,Q16900420,4721829033,node
815,Q45024421,28551080,way
816,Q7580575,107449465,way
817,Q91528125,336161392,way
818,Q108862125,463926927,way
819,Q7580841,55999673,way
820,Q48976819,118871611,way
821,Q15278982,41597071,way
822,Q17020939,24599065,way
823,Q7587169,993431197,way
824,Q66624352,325318522,way
825,Q104857795,357625563,node
826,Q7588291,201818732,way
827,Q7588443,354135786,node
828,Q68189432,280516259,way
829,Q7588890,44079451,way
830,Q7589271,823299249,way
831,Q7589261,434806459,way
832,Q7589281,849449348,way
833,Q7589283,13088293,relation
834,Q20709777,96328805,way
835,Q7590474,37511194,way
836,Q18158389,356858286,node
837,Q100934914,160844460,way
838,Q7590679,489853086,way
839,Q7591032,450255221,way
840,Q7591064,644916929,way
841,Q7591144,886587180,way
842,Q7591316,130001152,way
843,Q7591374,566388092,way
844,Q7591953,357729367,node
845,Q62581302,506880978,way
846,Q7611047,43436053,way
847,Q58035822,380677708,way
848,Q115056036,648873854,way
849,Q22919959,53542711,way
850,Q55511509,483066009,way
851,Q19881981,70733879,way
852,Q7641290,199579573,way
853,Q7641304,306939334,way
854,Q106044775,288192166,way
855,Q7650149,825349624,way
856,Q16900978,29690937,way
857,Q16900983,215999359,way
858,Q17110080,331768500,way
859,Q7675630,164773440,way
860,Q259518,803515730,way
861,Q22919963,262174089,way
862,Q7698599,1070974886,way
863,Q7698624,29837654,way
864,Q7814484,234043496,way
865,Q7842624,108237819,way
866,Q55875707,87821743,way
867,Q100156225,541800152,way
868,Q108733253,358246807,node
869,Q24883160,43136116,way
870,Q7883699,886586117,way
871,Q7885463,231855548,way
872,Q7885465,43399907,way
873,Q7885467,43762549,way
874,Q95149382,49533761,way
875,Q97999578,43439702,way
876,Q99372863,316456660,way
877,Q21996411,384776730,way
878,Q20988115,5891148,relation
879,Q79266333,352400415,way
880,Q7893766,43399287,way
881,Q7898752,357121114,node
882,Q7898785,692148967,way
883,Q8510012,228968534,way
884,Q7909484,1737076,relation
885,Q55807765,86662596,way
886,Q64729410,41915295,way
887,Q514834,35561103,way
888,Q98834669,371366129,way
889,Q7912373,879170918,way
890,Q7913493,40368980,way
891,Q7913538,202660562,way
892,Q7932377,29819341,way
893,Q7932389,37271970,way
894,Q7954158,7387458671,node
895,Q14715971,310793315,way
896,Q98215182,43440940,way
897,Q39078734,687381342,way
898,Q98200965,215714392,way
899,Q14716925,155763244,way
900,Q64571600,32240744,way
901,Q63341794,521055660,way
902,Q7979375,40165240,way
903,Q7979530,860605001,way
904,Q7981802,49207717,way
905,Q81213421,617280466,way
906,Q7984046,27921556,way
907,Q7984939,357651417,node
908,Q7985722,90607161,way
909,Q7986151,29869323,way
910,Q16903096,356605384,node
911,Q106512412,888334383,way
912,Q20644048,384369430,way
913,Q79266734,7440628,relation
914,Q7987408,29830348,way
915,Q7989035,196389874,way
916,Q7989746,29094407,way
917,Q7989863,609615973,way
918,Q98213093,192567166,way
919,Q7994525,59441169,way
920,Q34869263,165739415,way
921,Q58809154,29908966,way
922,Q94452662,31494853,way
923,Q95988761,5908381,way
924,Q8009654,313910939,way
925,Q8021170,8522380,relation
926,Q8022323,40369862,way
927,Q55020508,418739220,way
928,Q16903547,335914412,way
929,Q22919981,151011293,way
930,Q8032816,401075976,way
931,Q8032817,261712533,way
932,Q8032818,44703326,way
933,Q56548553,164380339,way
934,Q30603604,53753086,way
935,Q30607928,1983498,relation
936,Q87263361,875346386,way
937,Q8032819,81176341,way
938,Q8033010,130208310,way
939,Q8033013,43973524,way
940,Q16903678,118887183,way
941,Q115010171,43435954,way
942,Q8033025,37889432,way
943,Q89550249,334333048,way
944,Q102967212,43439859,way
945,Q8038192,29782989,way
946,Q106098855,356532813,node
947,Q98960449,43441866,way
948,Q8050736,42972867,way
949,Q16969037,166979546,way
950,Q110064463,37939213,way
951,Q8074945,927051751,way
952,Q46730843,357923696,node
953,Q96371778,947064,relation
954,Q8872129,14297956,relation
955,Q1271094,24573782,way
956,Q2477691,25819418,way
957,Q4763115,118479457,way
958,Q4792293,43191858,way
959,Q216344,2475077,relation
960,Q64355199,31055630,way
961,Q110941565,310954947,way
962,Q4087600,72011719,way
963,Q2972444,151204204,way
964,Q4883920,340966171,way
965,Q4884393,44175839,way
966,Q4965867,357926453,node
967,Q4975102,10892344,relation
968,Q995265,113222727,way
969,Q5024153,165354863,way
970,Q5024155,99368678,way
971,Q2934520,5536977,relation
972,Q4141336,45766951,way
973,Q14693512,151204178,way
974,Q48989723,23946749,way
975,Q64482808,101309784,way
976,Q2943261,13357685,relation
977,Q18755178,43043012,way
978,Q5056756,397895685,way
979,Q14691895,95475861,way
980,Q5056825,357719536,node
981,Q5058722,32119127,way
982,Q56281234,119471113,way
983,Q21169759,161498872,way
984,Q5108770,49961134,way
985,Q5108789,40369808,way
986,Q5123056,189098959,way
987,Q5123491,167405411,way
988,Q61986214,121663279,way
989,Q5149632,153247195,way
990,Q1131544,29837117,way
991,Q5189371,358652405,node
